route_id,agency_id,route_short_name,route_long_name,route_type,transport_type,circular,urban,night
4638,orgp,Ц 3,ИСААКИЕВСКАЯ ПЛОЩАДЬ - ПЛОЩАДЬ АЛЕКСАНДРА НЕВСКОГО,3,bus,0,0,1
4639,orgp,ВО,ИСААКИЕВСКАЯ ПЛОЩАДЬ - ВАСИЛЬЕВСКИЙ ОСТРОВ,3,bus,1,1,1
4642,orgp,ПС УК,ПЕТРОГРАДСКАЯ СТОРОНА (УКОРОЧЕННЫЙ),3,bus,1,0,1
4656,orgp,195У,"ст. метро ""Проспект Ветеранов"" - Южное кладбище",3,bus,0,1,0
4677,orgp,00000,проекты Соболевой,3,bus,0,1,0
4696,orgp,187А,ЭКСПОФОРУМ ,3,bus,0,1,0
4716,orgp, ,"УЛ. КОСТЮШКО - Г. ПУШКИН, ВОКЗАЛ",3,bus,0,1,0
4741,orgp,3Ч,"А.С. ""КРЕСТОВСКИЙ ОСТРОВ"" - СТ. МЕТРО ""СПОРТИВНАЯ""",3,bus,0,1,0
4742,orgp,4Ч,НАБ.МАРТЫНОВА-СТ.М.ПЕТРОГРАДСКАЯ,3,bus,0,1,0
4758,orgp,ПРОЕКТ1,ОСНОВНОЙ,3,bus,0,1,0
4759,orgp,S2,"А.С. ""КРЕСТОВСКИЙ ОСТРОВ"" - ПЛ. ВОССТАНИЯ",3,bus,0,1,0
4776,orgp,8 С,река Оккервиль- Смольный,3,bus,0,1,0
4816,orgp,75а,"АС ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - БЕРЕГОВАЯ УЛ.",3,bus,0,1,0
4836,orgp,145Б,"А.С. ""КИРОВСКИЙ ЗАВОД"" - ГЕОЛОГИЧЕСКАЯ УЛ.,75",3,bus,0,1,0
4838,orgp,483Б,"Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - САНАТОРИЙ ""СОСНОВЫЙ БОР""",3,bus,0,0,0
4856,orgp,002,проекты маршрутов  Билык,3,bus,0,1,0
3852,orgp,135/,Пл.Восстания - Исаакиевская пл.,3,bus,0,1,0
